objectNumber,collection,briefDescription,objectName,title,titleType,material,objectProductionDate,objectProductionDateType,dimensionValue,dimension,dimensionMeasurementUnit,objectProductionPerson,objectProductionPersonRole,objectProductionPersonType,owner,owner Type
45166,Albuquerque Public Art,"Large-scale bronze sculpture of a shepherd with his dog, walking stick and baby lamb under his left arm.",sculpture (visual work),The Shepherd,cited,bronze (metal),1990,creation,12,height,feet,Lincoln Fox,artist,person,Albuquerque Public Art,organization
45171,Albuquerque Public Art,15 Black and white photographs in maple frames depicting the diverse people and places in the Santa Barbara/Martineztown neighborhoods of Albuquerque.,photographs,Retratos de la Vecinidad (#1),cited,photographic materials,1902,creation,23,height,inches,Miguel Gandert,artist,person,Albuquerque Public Art,organization
45173,Albuquerque Public Art,15 Black and white photographs in maple frames depicting the diverse people and places in the Santa Barbara/Martineztown neighborhoods of Albuquerque.,photographs,Retratos de la Vecinidad (#2),cited,photographic materials,1992,creation,19,height,inches,Miguel Gandert,artist,person,Albuquerque Public Art,organization
45175,Albuquerque Public Art,15 Black and white photographs in maple frames depicting the diverse people and places in the Santa Barbara/Martineztown neighborhoods of Albuquerque.,photographs,Retratos de la Vecinidad (#3),cited,photographic materials,1992,creation,19,height,inches,Miguel Gandert,artist,person,Albuquerque Public Art,organization
45177,Albuquerque Public Art,15 Black and white photographs in maple frames depicting the diverse people and places in the Santa Barbara/Martineztown neighborhoods of Albuquerque.,photographs,Retratos de la Vecinidad (#4),cited,photographic materials,1992,creation,19,height,inches,Miguel Gandert,artist,person,Albuquerque Public Art,organization
45179,Albuquerque Public Art,15 Black and white photographs in maple frames depicting the diverse people and places in the Santa Barbara/Martineztown neighborhoods of Albuquerque.,photographs,Retratos de la Vecinidad (#5),cited,photographic materials,1992,creation,19,height,inches,Miguel Gandert,artist,person,Albuquerque Public Art,organization
45181,Albuquerque Public Art,15 Black and white photographs in maple frames depicting the diverse people and places in the Santa Barbara/Martineztown neighborhoods of Albuquerque.,photographs,Retratos de la Vecinidad (#6),cited,photographic materials,1992,creation,19,height,inches,Miguel Gandert,artist,person,Albuquerque Public Art,organization
45183,Albuquerque Public Art,15 Black and white photographs in maple frames depicting the diverse people and places in the Santa Barbara/Martineztown neighborhoods of Albuquerque.,photographs,Retratos de la Vecinidad (#7),cited,photographic materials,1992,creation,23,height,inches,Miguel Gandert,artist,person,Albuquerque Public Art,organization
45185,Albuquerque Public Art,15 Black and white photographs in maple frames depicting the diverse people and places in the Santa Barbara/Martineztown neighborhoods of Albuquerque.,photographs,Retratos de la Vecinidad (#8),cited,photographic materials,1992,creation,19,height,inches,Miguel Gandert,artist,person,Albuquerque Public Art,organization
45187,Albuquerque Public Art,15 Black and white photographs in maple frames depicting the diverse people and places in the Santa Barbara/Martineztown neighborhoods of Albuquerque.,photographs,Retratos de la Vecinidad (#9),cited,photographic materials,1992,creation,19,height,inches,Miguel Gandert,artist,person,Albuquerque Public Art,organization
45189,Albuquerque Public Art,15 Black and white photographs in maple frames depicting the diverse people and places in the Santa Barbara/Martineztown neighborhoods of Albuquerque.,photographs,Retratos de la Vecinidad (#10),cited,photographic materials,1992,creation,22,height,inches,Miguel Gandert,artist,person,Albuquerque Public Art,organization
45191,Albuquerque Public Art,15 Black and white photographs in maple frames depicting the diverse people and places in the Santa Barbara/Martineztown neighborhoods of Albuquerque.,photographs,Retratos de la Vecinidad (#11),cited,photographic materials,1992,creation,19,height,inches,Miguel Gandert,artist,person,Albuquerque Public Art,organization
45193,Albuquerque Public Art,15 Black and white photographs in maple frames depicting the diverse people and places in the Santa Barbara/Martineztown neighborhoods of Albuquerque.,photographs,Retratos de la Vecinidad (#12),cited,photographic materials,1992,creation,19,height,inches,Miguel Gandert,artist,person,Albuquerque Public Art,organization
45195,Albuquerque Public Art,15 Black and white photographs in maple frames depicting the diverse people and places in the Santa Barbara/Martineztown neighborhoods of Albuquerque.,photographs,Retratos de la Vecinidad (#13),cited,photographic materials,1992,creation,19,height,inches,Miguel Gandert,artist,person,Albuquerque Public Art,organization
45197,Albuquerque Public Art,15 Black and white photographs in maple frames depicting the diverse people and places in the Santa Barbara/Martineztown neighborhoods of Albuquerque.,photographs,Retratos de la Vecinidad (#14),cited,photographic materials,1992,creation,16,height,inches,Miguel Gandert,artist,person,Albuquerque Public Art,organization
45199,Albuquerque Public Art,15 Black and white photographs in maple frames depicting the diverse people and places in the Santa Barbara/Martineztown neighborhoods of Albuquerque.,photographs,Retratos de la Vecinidad (#15),cited,photographic materials,1992,creation,19,height,inches,Miguel Gandert,artist,person,Albuquerque Public Art,organization
45201,Albuquerque Public Art,Six acrylic paintings on masonite with handmade tin and wood frames depicting various people and activities in the North Valley.,acrylic paintings,Memories of the North Valley (Haciendo Adobes),cited,acrylic paint; tin (metal),1994,creation,30,height,inches,Edward Gonzales,artist,person,Albuquerque Public Art,organization
45203,Albuquerque Public Art,Six acrylic paintings on masonite with handmade tin and wood frames depicting various people and activities in the North Valley.,acrylic paintings,Memories of the North Valley (La Acequia),cited,acrylic paint; tin (metal),1994,creation,24,height,inches,Edward Gonzales,artist,person,Albuquerque Public Art,organization
45205,Albuquerque Public Art,Six acrylic paintings on masonite with handmade tin and wood frames depicting various people and activities in the North Valley.,acrylic paintings,Memories of the North Valley (The Harvesters),cited,acrylic paint; tin (metal),1994,creation,24,height,inches,Edward Gonzales,artist,person,Albuquerque Public Art,organization
45207,Albuquerque Public Art,Six acrylic paintings on masonite with handmade tin and wood frames depicting various people and activities in the North Valley.,acrylic paintings,Memories of the North Valley (Hanging Chile),cited,acrylic paint; tin (metal),1994,creation,30,height,inches,Edward Gonzales,artist,person,Albuquerque Public Art,organization
45209,Albuquerque Public Art,Six acrylic paintings on masonite with handmade tin and wood frames depicting various people and activities in the North Valley.,acrylic paintings,Memories of the North Valley (Los Abuelos),cited,acrylic paint; tin (metal),1994,creation,24,height,inches,Edward Gonzales,artist,person,Albuquerque Public Art,organization
45211,Albuquerque Public Art,Six acrylic paintings on masonite with handmade tin and wood frames depicting various people and activities in the North Valley.,acrylic paintings,Memories of the North Valley (Haciendo Tortillas),cited,acrylic paint; tin (metal),1994,creation,30,height,inches,Edward Gonzales,artist,person,Albuquerque Public Art,organization
45213,Albuquerque Public Art,"Nine life-size bronze figures of people (including a businessman and businesswoman, a skateboarder, a Native american woman and her child, and a cowboy) involved in a variety of activities on a sidewalk in downtown Albuquerque.",sculpture (visual work),Sidewalk Society,cited,bronze (metal),1991,creation,7,height,feet,Glenna Goodacre,artist,person,Albuquerque Public Art,organization
45219,Albuquerque Public Art,"Corten steel sculpture of a Zia symbol, with the four sides pointing in four directions.",sculpture (visual work),Zia,cited,steel (alloy),1990,creation,15,height,feet,William Goodman,artist,person,Albuquerque Public Art,organization
45221,Albuquerque Public Art,"Stained glass wall depicting various zoo animals behind orange, red, and yellow ""ribbons"".",stained glass (visual works),Tapestry of Life,cited,stained glass (material); wood (plant material),1993,creation,10,height,feet,Cathy Gore,artist,person,Albuquerque Public Art,organization
45226,Albuquerque Public Art,Bronze fountain depicting numerous birds in various stages of flight over a small pool of water.,sculpture (visual work),Fountain of Peace,cited,bronze (metal),1989,creation,5,height,feet,Sandy Scott,artist,person,Albuquerque Public Art,organization
45231,Albuquerque Public Art,Carved travertine marble and steel plates set on concrete base with pebbles placed in wave designs. Abstract rock fountain.,sculpture (visual work),Picture Fountain,cited,stone (rock); metal,1990,creation,8,height,feet,Maera Green,artist,person,Albuquerque Public Art,organization
45233,Albuquerque Public Art,"Oil on canvas depicting Francisco Vasquez de Coronado and his conquistadors coming from Arizona into New Mexico, (then called Tiguex) where they spent the winter.",paintings (visual works),Coronado’s First Visit to New Mexico,cited,oil paint (pigmented coating); canvas,1997,creation,4,height,feet,Maurice Green,artist,person,Albuquerque Public Art,organization
45238,Albuquerque Public Art,Abstract neon and steel cut-out sculpture on the roof of the Loma Linda Community Center.,sculpture (visual work),Albuquerque Apparition,cited,neon; stainless steel,1992,creation,11,height,feet,David Griggs,artist,person,Albuquerque Public Art,organization
45241,Albuquerque Public Art,Oil on canvas depicting a church and people involved in daily activities in Old Town Albuquerque.,paintings (visual works),New Life in Old Albuquerque,cited,oil paint (pigmented coating); canvas,1993,creation,34,height,inches,Roy Grinnell,artist,person,Albuquerque Public Art,organization
45243,Albuquerque Public Art,"A large-scale, ceramic tile monument of a 1965 Chevy atop a large arched pedestal.",sculpture (visual work); mosaics (visual works); architecture (object genre),Cruising San Mateo I,cited,steel (alloy); stucco; ceramic tile,1991,creation,22,height,feet,Barbara Grygutis,artist,person,Albuquerque Public Art,organization
45249,Albuquerque Public Art,A ceramic tile table set in a downward slant.,sculpture (visual work),Cruising San Mateo II,cited,steel (alloy); stucco; ceramic tile,1991,creation,42,height,inches,Barbara Grygutis,artist,person,Albuquerque Public Art,organization
45251,Albuquerque Public Art,A stylistic mural depicting farmers involved in harvest time activities. Figurative and whimsical style with bright colors.,mural paintings (visual works),The Harvest,cited,paint,1984,creation,11,height,feet,Gilberto Guzman,artist,person,Albuquerque Public Art,organization
45255,Albuquerque Public Art,An enamel painted steel sculpture with various abstract and geometric shapes.,sculpture (visual work),A Tree of Mixed Metaphors,cited,paint; steel (alloy),1988,creation,13,height,feet,Ed Haddaway,artist,person,Albuquerque Public Art,organization
45261,Albuquerque Public Art,"A life-size, realistic bronze sculpture of a lioness and her two cubs at the Rio Grande Zoo.",sculpture (visual work),Lioness and Cubs,cited,bronze (metal),1984,creation,39,height,inches,Una Hambury,artist,person,Albuquerque Public Art,organization
45265,Albuquerque Public Art,Bronze sculpture of a phoenix rising from the flame. Sculpture is mounted on a steel pipe set in a  mound of volcanic rock in a planter in front of Phoenix Plaza Cafe.,sculpture (visual work),Phoenix Rising from the Sun,cited,bronze (metal),1985,creation,7,height,feet,Una Hambury,artist,person,Albuquerque Public Art,organization
45269,Albuquerque Public Art,"Depicts the pre-Columbian Culture of the Americas paired with symbols of contemporary culture of the US.  One panel features images derived from pre-Columbian relief murals and the other contains symbols of contemporary American culture. In each panel a line of cars, trucks and other vehicles travel along the base. The sky area has planes and clouds placed in a pattern to tie the two sides together.  Symbols of transportation represent the historic Camino Real, the 20th Century Route 66, and the continuation of these routes with modern air travel.",sculpture (visual work),Cultural Crossroads of the Americas,cited,Cor-Ten steel (TM),1996,creation,29,height,feet,Bob Haozous,artist,person,Albuquerque Public Art,organization
45274,Albuquerque Public Art,"A figurative, representational sculpture of a Native-American woman wearing a squash blossom necklace.",sculpture (visual work),Walk in Beauty,cited,granite (rock),1983,creation,18,height,inches,Doug Hyde,artist,person,Albuquerque Public Art,organization
45278,Albuquerque Public Art,Cast and painted fiberglass figurative sculpture of a man holding and mourning a dead woman atop a purple mesa.,sculpture (visual work),Southwest Pieta/Pieta Suroeste,cited,fiberglass,1987,creation,10,height,feet,Luis Jimenez,artist,person,Albuquerque Public Art,organization
45284,Albuquerque Public Art,Acrylic mural depicting historical scenes of firefighters in Albuquerque.,paintings (visual works),Asteroid Sequence #2,cited,acrylic paint; canvas,1994,creation,30,height,inches,Aaron Karp,artist,person,Albuquerque Public Art,organization
45286,Albuquerque Public Art,Acrylic mural depicting historical scenes of firefighters in Albuquerque.,mural paintings (visual works),Heritage,cited,acrylic paint; stucco,1985,creation,400,area,feet,Celia Kimball,artist,person,Albuquerque Public Art,organization
45291,Albuquerque Public Art,Wool tapestry with blue and black vertical lines and intricately placed details like red squares and white shapes.,fiber art,Thread of New Mexico,cited,wool (hair),1992,creation,4,height,feet,Nancy Kozikowski,artist,person,Albuquerque Public Art,organization
45293,Albuquerque Public Art,Bronze relief of a woman wearing a long cloak. Behind her a cloud unfurls with numerous designs etched onto it.,reliefs (sculptures),Breath of Life,cited,bronze (metal),1995,creation,7,height,feet,Bruce LaFountain,artist,person,Albuquerque Public Art,organization
45297,Albuquerque Public Art,Whimsical shelter made of recycled automobile parts. The roof is made from car body sheet metal over steel framework; the whirlygigs are old engine fan parts; the posts are re-painted car wheel rims welded together; and the seats are made from recycled plastic benches.,sculpture (visual work); architecture (object genre),Vehicle Stop,cited,mixed media,2001,creation,15,height,feet,Erika Wanenmacher,artist,person,Albuquerque Public Art,organization
45302,Albuquerque Public Art,"Large scale stone sculpture atop a large base depicts a pioneer woman wearing a bonnet with her two children and memorializes the mothers who went West in covered wagons.For more information see: <a href=""http://www.nps.gov/nr/travel/route66/madonna_of_the_trail_albuquerque.html"" target=""_blank"">this page</a>",sculpture (visual work),Madonna of the Trail,cited,cast stone,1988,creation,15,height,feet,August Leimbach,artist,person,Albuquerque Public Art,organization
45306,Albuquerque Public Art,Recycled metal gate with curved top and five stakes mounted  in a Plexiglas box.,sculpture (visual work),Tea Gate V,cited,metal,2001,creation,71,height,inches,Paula Castillo,artist,person,Albuquerque Public Art,organization
45309,Albuquerque Public Art,"Rock and aggregate mosaic sound wall with geometric, nature and spiral motifs..",mosaics (visual works),River of Life,cited,rock,1996,creation,8,height,feet,Susan Linnell,artist,person,Albuquerque Public Art,organization
45315,Albuquerque Public Art,"A wrought iron steel column of 78 silhouette bodies painted dark brown, surrounded by 5 triangular granite pillars and stone pavers with holocaust memorial information plaques and concrete benches in memory of the Holocaust and WWII.",sculpture (visual work),Holocaust Memorial,cited,steel (alloy); granite (rock),1999,creation,16,height,feet,Jake Lovato,artist,person,Albuquerque Public Art,organization
45317,Albuquerque Public Art,Seven panel welded steel gazebo with Native American figures and motifs throughout.,sculpture (visual work); architecture (object genre),Yei-bi-chai Gathering Place,cited,steel (alloy),1995,creation,9,height,feet,Jake Lovato,artist,person,Albuquerque Public Art,organization
45321,Albuquerque Public Art,Wall relief of seven cast fiberglass and polyester resin shields with a pale rose patina finish. Six shields are symbolically related to cultures of New Mexico; seventh represents the Albuquerque Police Department badge.,reliefs (sculptures),The Shield,cited,fiberglass,1986,creation,5,height,feet,Elizabeth Red Sun Lyon,artist,person,Albuquerque Public Art,organization
45323,Albuquerque Public Art,Ceramic tiled round bench surrounded by a low ceramic tiled wall. Incorporates a rainbow motif and other whimsical Native American symbols and figures.,sculpture (visual work); mosaics (visual works),Full Circle,cited,ceramic tile,1990,creation,4,height,feet,Beverly Magennis,artist,person,Albuquerque Public Art,organization
45326,Albuquerque Public Art,"Ceramic tiled mosaic structure with tree, animal, and flower motifs.",sculpture (visual work); mosaics (visual works),Tree of Life,cited,ceramic tile,1999,creation,22,height,feet,Beverly Magennis,artist,person,Albuquerque Public Art,organization
45327,Albuquerque Public Art,"Acrylic mural on masonite depicting different Hispanic cultures and symbolism, the passage of time and the Southwestern landscape.",mural paintings (visual works),"""Mestizaje,""  De Colores Hispanic Heritage Festival Mural",cited,acrylic,1996,creation,8,height,feet,Emanuel Martinez,artist,person,Albuquerque Public Art,organization
45333,Albuquerque Public Art,Blue ceramic tiled benches and walls utilizing a curvilinear design along a pedestrian walkway.,benches (furniture); mosaics (visual works); sculpture (visual work),Blue Tile Walls,cited,ceramic tile,2002,creation,8,height,feet,Molly Mason,artist,person,Albuquerque Public Art,organization
45338,Albuquerque Public Art,Large-scale realistic bronze sculpture of Don Francisco Cuervo y Valdes riding a horse into Albuquerque.,sculpture (visual work),"Don Francisco Cuervo y Valdes, Founder of Albuquerque",cited,bronze (metal),1988,creation,12,height,feet,Buck McCain,artist,person,Albuquerque Public Art,organization
45343,Albuquerque Public Art,Bronze memorial portrait of Martin Luther King Jr. embedded within concrete curved walls. Small insets containing photo transfer panels line the walls.,sculpture (visual work),To Create the Beloved Community,cited,bronze (metal),1994,creation,5000,area,feet,Jerome Meadows,artist,person,Albuquerque Public Art,organization
45351,Albuquerque Public Art,Corten steel sculptures of two abstracted horses galloping through the grass.,sculpture (visual work),Running Horses,cited,Cor-Ten steel (TM),1991,creation,11,height,feet,Gray Mercer,artist,person,Albuquerque Public Art,organization
45358,Albuquerque Public Art,"Five abstract painted steel wire forms depicting human figures and eleven abstract steel cutout forms, all in a variety of colors.",sculpture (visual work),Lifelines,cited,steel (alloy); ,1997,creation,6,height,feet,Leigh Moore/Walters,artist,person,Albuquerque Public Art,organization
45363,Albuquerque Public Art,Life-size bronze sculpture of Albuquerque philanthropist George Maloof atop a concrete base.,sculpture (visual work),George J. Maloof,cited,bronze (metal),1997,creation,7,height,feet,Paul Moore,artist,person,Albuquerque Public Art,organization
45367,Albuquerque Public Art,84 white cement pylons set in four concentric circles memorializing New Mexico's veterans.,sculpture (visual work); installations (visual works),The Fallen Friend,cited,cement products,1997,creation,88,height,inches,Jesus Moroles,artist,person,Albuquerque Public Art,organization
45371,Albuquerque Public Art,Large-scale abstract sculpture with three steel cylinders piercing a large slab of granite. Water flows from the top of the structure and cascades down the poles and drips from the slab of granite.,sculpture (visual work),Floating Mesa,cited,granite (rock); stainless steel,1984,creation,22,height,feet,Jesus Moroles,artist,person,Albuquerque Public Art,organization
45376,Albuquerque Public Art,Neon and aluminum signage for the Center for Theatre. Utilizes text and the theatrical happy/sad masks.,sculpture (visual work),Globe,cited,neon; aluminum (metal),2001,creation,24,height,feet,Ramsey Rose,artist,person,Albuquerque Public Art,organization
45380,Albuquerque Public Art,Figurative bronze sculpture with a dark patina of a Native American maiden holding a walking stick and a water vessel.,sculpture (visual work),Spirit Maiden,cited,bronze (metal),1996,creation,5,height,feet,Michael Naranjo,artist,person,Albuquerque Public Art,organization
45383,Albuquerque Public Art,Stylized Native-American figures depicting a man and woman.,sculpture (visual work),Khwee ... Seng (Woman...Man),cited,bronze (metal),1993,creation,4,height,feet,Nora Naranjo Morse,artist,person,Albuquerque Public Art,organization
45388,Albuquerque Public Art,"Representational portrait in oil on canvas, memorializing police officer Roger A. Hoisington with the Police Academy behind him.",paintings (visual works),Portrait of Roger A. Hoisington,cited,oil paint (pigmented coating); canvas,1996,creation,48,height,inches,Leo Neufeld,artist,person,Albuquerque Public Art,organization
45390,Albuquerque Public Art,"Abstract steel, aluminum, and metal mesh sculpture composed of seven pieces arranged at varying levels.",sculpture (visual work),Dreams & Nightmares: Journey of a Broken Weave,cited,steel (alloy),1987,creation,18,height,feet,Dennis Oppenheim,artist,person,Albuquerque Public Art,organization
45395,Albuquerque Public Art,,fiber art,Maria C.,cited,wool (hair),1902,creation,63,height,inches,Luis Ortega,artist,person,Albuquerque Public Art,organization
45397,Albuquerque Public Art,Acrylic and fiberglass mural depicting a wagon headed west along the Camino Real through the hills and brush of the desert Southwest.,mural paintings (visual works),"El Camino Real, Road of Life",cited,acrylic paint; fiberglass,1998,creation,1200,area,feet,Patricio A. Zamora (PAZ),artist,person,Albuquerque Public Art,organization
45403,Albuquerque Public Art,Acrylic mural depicting two children looking at a crosswalk and school.,mural paintings (visual works),La Communidad,cited,acrylic paint,1997,creation,24,height,feet,Patricio A. Zamora (PAZ),artist,person,Albuquerque Public Art,organization
45407,Albuquerque Public Art,Acrylic and fiberglass sculptural mural depicting a firehouse and a fireman climbing a wall.,mural paintings (visual works),More than a Fire Fighter,cited,acrylic paint; fiberglass,1999,creation,40,height,feet,Patricio A. Zamora (PAZ),artist,person,Albuquerque Public Art,organization
45414,Albuquerque Public Art,Acrylic and airbrush mural depicting Chicano figures and symbolism on a backdrop of swirling colors.,mural paintings (visual works),La Primavera,cited,acrylic paint,1993,creation,10,height,feet,Francisco LeFebre,artist,person,Albuquerque Public Art,organization
45417,Albuquerque Public Art,Abstract aluminum plate sculpture of various shapes and colors.,sculpture (visual work),Crossroads,cited,aluminum (metal),1902,creation,20,height,feet,Jerry Peart,artist,person,Albuquerque Public Art,organization
45423,Albuquerque Public Art,Low-relief carved marble mural in an abstract form to look like wrinkled paper.,sculpture (visual work),La Blessure,cited,marble (rock),1990,creation,7,height,feet,Collette Perazio-Itkin,artist,person,Albuquerque Public Art,organization
45425,Albuquerque Public Art,Gorilla sculpture made from tires and a steel structure.,sculpture (visual work),Gorilla Route #66,cited,steel (alloy); tires,1990,creation,5,height,feet,Sarah Perry,artist,person,Albuquerque Public Art,organization
45429,Albuquerque Public Art,Life-size bronze sculpture tableau consisting of a man holding a plow attached to a horse. The man is standing in a stucco colored concrete furrow. A young boy and girl are sitting on the horse's back.  To the east of this group is a free standing colt.,sculpture (visual work),First Furrow,cited,bronze (metal),1902,creation,50,area,feet,Susan Raymond,artist,person,Albuquerque Public Art,organization
45437,Albuquerque Public Art,Five representational cast bronze sculptures of various animals: 2 bats in flight; 2 lizards; and 1 running jack rabbit.,sculpture (visual work),"Jack Rabbit, Lizards & Bats",cited,bronze (metal),1902,creation,21,height,inches,Reynaldo Rivera,artist,person,Albuquerque Public Art,organization
45441,Albuquerque Public Art,Life-size bronze sculptures depicting an adult male and an adult female bison and one calf.,sculpture (visual work),Reynaldo  Rivera,cited,bronze (metal),1990,creation,7,height,feet,Reynaldo Rivera,artist,person,Albuquerque Public Art,organization
45443,Albuquerque Public Art,Life-size bronze sculpture depicting a grown bear and a young bear cub walking in the canyon.,sculpture (visual work),Los Osos del Canyon,cited,bronze (metal),1995,creation,4,height,feet,Reynaldo Rivera,artist,person,Albuquerque Public Art,organization
45447,Albuquerque Public Art,A representational bronze relief of a scene set in a room with a curandera (medicine woman) and several other figures.,reliefs (sculptures),La Curandera y su Jardin,cited,bronze (metal),1998,creation,9,height,feet,Reynaldo Rivera,artist,person,Albuquerque Public Art,organization
45452,Albuquerque Public Art,A painted concrete relief mural depicting a southwestern landscape with a horse-drawn wagon and figures on horseback in the distance.,reliefs (sculptures),La Entrada al Futuro,cited,cement products,1996,creation,7,height,feet,Leopoldo Romero,artist,person,Albuquerque Public Art,organization
45454,Albuquerque Public Art,A color photograph giclee of the sacred Chetro Ketl Kiva in Chaco Canyon.,photographs,"BMW, Chetro Ketl Kiva, Chaco Canyon, USA",cited,photographic materials,2000,creation,39,height,inches,Patrick Nagatani,artist,person,Albuquerque Public Art,organization
45456,Albuquerque Public Art,A ceramic tiled vintage low-rider automobile with a bench attached to the side. The ceramic tiles are multi colored and there are depictions of fire and a flying eagle.,sculpture (visual work),NM Lowrider Bench,cited,ceramic tile; concrete,1992,creation,5,height,feet,Pedro Romero,artist,person,Albuquerque Public Art,organization
45462,Albuquerque Public Art,Large abstract fabric and steel sculpture attached to the facade of a parking garage in downtown Albuquerque.,sculpture (visual work),Gridlock,cited,textile materials; steel (alloy),1984,creation,40,height,feet,Ramsey Rose,artist,person,Albuquerque Public Art,organization
45466,Albuquerque Public Art,A representational wall relief depicting fire fighters putting out a fire.,sculpture (visual work); wall pieces; reliefs (sculptures),Fire Work,cited,metal,1993,creation,10,height,feet,Evelyn Rosenberg,artist,person,Albuquerque Public Art,organization
45470,Albuquerque Public Art,"Large-scale bronze sculptures depicting Senator Dennis Chavez and his wife, sitting cross-legged on a wall in civic plaza.",sculpture (visual work),El Senador Memorial Honoring Senator Dennis Chavez,cited,bronze (metal),1999,creation,6,height,feet,J. Mark Rowland;Cynthia Rowland,artist;artist,person;person,Albuquerque Public Art,organization
45477,Albuquerque Public Art,Ceramic tile and steel cutout figures depicting the Southwestern landscape with blue skies and soaring birds.,mosaics (visual works),Natural Vistas,cited,ceramic tile; steel (alloy),2001,creation,5,height,feet,H. John Bell,artist,person,Albuquerque Public Art,organization
45482,Albuquerque Public Art,"Abstract steel, brass, copper, and bronze sculpture with three semi-circles attached to a single cylinder.",sculpture (visual work),Tree II,cited,Cor-Ten steel (TM); brass (alloy); copper (metal),1980,creation,16,height,feet,Steven Rudy,artist,person,Albuquerque Public Art,organization
45484,Albuquerque Public Art,Painted wood assemblage depicting a man on horseback with a donkey looking up at an airplane flying overhead.,assemblages (sculpture),Cowboy Dream,cited,paint; wood (plant material),2001,creation,30,height,inches,Ed Larson,artist,person,Albuquerque Public Art,organization
45486,Albuquerque Public Art,Monotype print depicting stylistic figures harvesting red chiles.,monoprints (painting and printing works),Chile Harvest,cited,oil paint (pigmented coating); paper (fiber product),2001,creation,35,height,inches,Gilberto Guzman,artist,person,Albuquerque Public Art,organization
45488,Albuquerque Public Art,Large wood and mixed media heart shapes decorated with small toys and figurines.,sculpture (visual work),Big Hearted Joy Beasts,cited,mixed media,1986,creation,5,height,feet,Ken Saville,artist,person,Albuquerque Public Art,organization
